defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	cell	cell_label
http://purl.obolibrary.org/obo/CL_1000424	chromaffin cell of paraaortic body	http://purl.obolibrary.org/obo/UBERON_0001237	paraaortic body	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_1000425	chromaffin cell of paraganglion	http://purl.obolibrary.org/obo/UBERON_0012279	chromaffin paraganglion	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_1000466	chromaffin cell of right ovary	http://purl.obolibrary.org/obo/UBERON_0002118	right ovary	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_0000637	chromophil cell of anterior pituitary gland	http://purl.obolibrary.org/obo/UBERON_0002196	adenohypophysis	http://purl.obolibrary.org/obo/CL_0000166	chromaffin cell
http://purl.obolibrary.org/obo/CL_1000443	ciliary muscle cell	http://purl.obolibrary.org/obo/UBERON_0001775	ciliary body	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
http://purl.obolibrary.org/obo/CL_0000080	circulating cell	http://purl.obolibrary.org/obo/UBERON_0000179	haemolymphatic fluid	http://purl.obolibrary.org/obo/CL_0000003	native cell
http://purl.obolibrary.org/obo/CL_1001572	colon endothelial cell	http://purl.obolibrary.org/obo/UBERON_0001155	colon	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1001588	colon glandular cell	http://purl.obolibrary.org/obo/UBERON_0001155	colon	http://purl.obolibrary.org/obo/CL_0000150	glandular epithelial cell
http://purl.obolibrary.org/obo/CL_0009039	colon goblet cell	http://purl.obolibrary.org/obo/UBERON_0001155	colon	http://purl.obolibrary.org/obo/CL_0000160	goblet cell
http://purl.obolibrary.org/obo/CL_0009038	colon macrophage	http://purl.obolibrary.org/obo/UBERON_0001155	colon	http://purl.obolibrary.org/obo/CL_0000235	macrophage
http://purl.obolibrary.org/obo/CL_2000019	compound eye photoreceptor cell	http://purl.obolibrary.org/obo/UBERON_0000018	compound eye	http://purl.obolibrary.org/obo/CL_0000210	photoreceptor cell
http://purl.obolibrary.org/obo/CL_2000084	conjunctiva goblet cell	http://purl.obolibrary.org/obo/UBERON_0001811	conjunctiva	http://purl.obolibrary.org/obo/CL_0000160	goblet cell
http://purl.obolibrary.org/obo/CL_0002320	connective tissue cell	http://purl.obolibrary.org/obo/UBERON_0002384	connective tissue	http://purl.obolibrary.org/obo/CL_0002371	somatic cell
http://purl.obolibrary.org/obo/CL_0000484	connective tissue type mast cell	http://purl.obolibrary.org/obo/UBERON_0002384	connective tissue	http://purl.obolibrary.org/obo/CL_0000097	mast cell
http://purl.obolibrary.org/obo/CL_2000095	cord blood hematopoietic stem cell	http://purl.obolibrary.org/obo/UBERON_0012168	umbilical cord blood	http://purl.obolibrary.org/obo/CL_0000037	hematopoietic stem cell
http://purl.obolibrary.org/obo/CL_0002097	cortical cell of adrenal gland	http://purl.obolibrary.org/obo/UBERON_0001235	adrenal cortex	http://purl.obolibrary.org/obo/CL_0002078	meso-epithelial cell
http://purl.obolibrary.org/obo/CL_0001032	cortical granule cell	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex	http://purl.obolibrary.org/obo/CL_0000120	granule cell
http://purl.obolibrary.org/obo/CL_0008033	decidual pericyte	http://purl.obolibrary.org/obo/UBERON_0002450	decidua	http://purl.obolibrary.org/obo/CL_0000669	pericyte cell
http://purl.obolibrary.org/obo/CL_0009034	dendritic cell of appendix	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix	http://purl.obolibrary.org/obo/CL_0000451	dendritic cell
http://purl.obolibrary.org/obo/CL_1000377	dense-core granulated cell of epithelium of trachea	http://purl.obolibrary.org/obo/UBERON_0001901	epithelium of trachea	http://purl.obolibrary.org/obo/CL_0002066	Feyrter cell
http://purl.obolibrary.org/obo/CL_0002148	dental pulp cell	http://purl.obolibrary.org/obo/UBERON_0001754	dental pulp	http://purl.obolibrary.org/obo/CL_0002159	general ecto-epithelial cell
http://purl.obolibrary.org/obo/CL_2000089	dentate gyrus of hippocampal formation granule cell	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/CL_0000120	granule cell
http://purl.obolibrary.org/obo/CL_0002482	dermal melanocyte	http://purl.obolibrary.org/obo/UBERON_0002067	dermis	http://purl.obolibrary.org/obo/CL_0000148	melanocyte
http://purl.obolibrary.org/obo/CL_2000010	dermis blood vessel endothelial cell	http://purl.obolibrary.org/obo/UBERON_0002067	dermis	http://purl.obolibrary.org/obo/CL_0000071	blood vessel endothelial cell
http://purl.obolibrary.org/obo/CL_2000011	dermis lymphatic vessel endothelial cell	http://purl.obolibrary.org/obo/UBERON_0002067	dermis	http://purl.obolibrary.org/obo/CL_0002138	endothelial cell of lymphatic vessel
http://purl.obolibrary.org/obo/CL_1000324	duodenal goblet cell	http://purl.obolibrary.org/obo/UBERON_0002114	duodenum	http://purl.obolibrary.org/obo/CL_0000160	goblet cell
http://purl.obolibrary.org/obo/CL_1001589	duodenum glandular cell	http://purl.obolibrary.org/obo/UBERON_0002114	duodenum	http://purl.obolibrary.org/obo/CL_0000150	glandular epithelial cell
http://purl.obolibrary.org/obo/CL_2000042	embryonic fibroblast	http://purl.obolibrary.org/obo/UBERON_0000922	embryo	http://purl.obolibrary.org/obo/CL_0000057	fibroblast
http://purl.obolibrary.org/obo/CL_0002350	endocardial cell	http://purl.obolibrary.org/obo/UBERON_0002165	endocardium	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1000411	endothelial cell of Peyer's patch	http://purl.obolibrary.org/obo/UBERON_0003454	small intestine Peyer's patch	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1000412	endothelial cell of arteriole	http://purl.obolibrary.org/obo/UBERON_0001980	arteriole	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1000413	endothelial cell of artery	http://purl.obolibrary.org/obo/UBERON_0001637	artery	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_2000018	endothelial cell of coronary artery	http://purl.obolibrary.org/obo/UBERON_0001621	coronary artery	http://purl.obolibrary.org/obo/CL_1000413	endothelial cell of artery
http://purl.obolibrary.org/obo/CL_1000398	endothelial cell of hepatic sinusoid	http://purl.obolibrary.org/obo/UBERON_0001281	hepatic sinusoid	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_0002262	endothelial cell of sinusoid	http://purl.obolibrary.org/obo/UBERON_0003909	sinusoid	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_0002618	endothelial cell of umbilical vein	http://purl.obolibrary.org/obo/UBERON_0002066	umbilical vein	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1000397	endothelial cell of venous sinus of red pulp of spleen	http://purl.obolibrary.org/obo/UBERON_0009967	spleen venous sinus	http://purl.obolibrary.org/obo/CL_0000115	endothelial cell
http://purl.obolibrary.org/obo/CL_1000414	endothelial cell of venule	http://purl.obolibrary.org/obo/UBERON_0001979	venule	http://purl.obolibrary.org/obo/CL_0002139	endothelial cell of vascular tree
http://purl.obolibrary.org/obo/CL_0002504	enteric smooth muscle cell	http://purl.obolibrary.org/obo/UBERON_0000160	intestine	http://purl.obolibrary.org/obo/CL_0000192	smooth muscle cell
http://purl.obolibrary.org/obo/CL_0009026	enterocyte of appendix	http://purl.obolibrary.org/obo/UBERON_0001154	vermiform appendix	http://purl.obolibrary.org/obo/CL_0000584	enterocyte
http://purl.obolibrary.org/obo/CL_1000337	enterocyte of epithelium of duodenal gland	http://purl.obolibrary.org/obo/UBERON_0001212	duodenal gland	http://purl.obolibrary.org/obo/CL_0000584	enterocyte
