#curie_map:
#  CL: "http://purl.obolibrary.org/obo/CL_"
#  ZFA: "http://purl.obolibrary.org/obo/ZFA_"
#mapping_set_id: "http://purl.obolibrary.org/obo/zfa/zfa.sssom.tsv"
#license: "https://creativecommons.org/licenses/by/3.0/"
#subject_source: "http://purl.obolibrary.org/obo/zfa.owl"
subject_id	subject_label	predicate_id	object_id	mapping_justification	mapping_cardinality
ZFA:0009082	fat cell	semapv:crossSpeciesExactMatch	CL:0000450	semapv:UnspecifiedMatching	1:n
ZFA:0009083	osteocyte	semapv:crossSpeciesExactMatch	CL:0000137	semapv:UnspecifiedMatching	1:1
ZFA:0009084	chondrocyte	semapv:crossSpeciesExactMatch	CL:0000138	semapv:UnspecifiedMatching	1:1
ZFA:0009086	odontocyte	semapv:crossSpeciesExactMatch	CL:0000140	semapv:UnspecifiedMatching	1:1
ZFA:0009087	cementocyte	semapv:crossSpeciesExactMatch	CL:0000141	semapv:UnspecifiedMatching	1:1
ZFA:0009088	professional antigen presenting cell	semapv:crossSpeciesExactMatch	CL:0000145	semapv:UnspecifiedMatching	1:1
ZFA:0009089	simple columnar epithelial cell	semapv:crossSpeciesExactMatch	CL:0000146	semapv:UnspecifiedMatching	1:1
ZFA:0009090	pigment cell	semapv:crossSpeciesExactMatch	CL:0000147	semapv:UnspecifiedMatching	1:1
ZFA:0009091	melanocyte	semapv:crossSpeciesExactMatch	CL:0000148	semapv:UnspecifiedMatching	1:1
ZFA:0009092	exocrine cell	semapv:crossSpeciesExactMatch	CL:0000152	semapv:UnspecifiedMatching	1:1
ZFA:0009093	GAG secreting cell	semapv:crossSpeciesExactMatch	CL:0000153	semapv:UnspecifiedMatching	1:1
ZFA:0009094	goblet cell	semapv:crossSpeciesExactMatch	CL:0000160	semapv:UnspecifiedMatching	1:1
ZFA:0009095	acid secreting cell	semapv:crossSpeciesExactMatch	CL:0000161	semapv:UnspecifiedMatching	1:1
ZFA:0009096	endocrine cell	semapv:crossSpeciesExactMatch	CL:0000163	semapv:UnspecifiedMatching	1:1
ZFA:0009097	enteroendocrine cell	semapv:crossSpeciesExactMatch	CL:0000164	semapv:UnspecifiedMatching	1:1
ZFA:0009098	neuroendocrine cell	semapv:crossSpeciesExactMatch	CL:0000165	semapv:UnspecifiedMatching	1:1
ZFA:0009099	chromaffin cell	semapv:crossSpeciesExactMatch	CL:0000166	semapv:UnspecifiedMatching	1:1
ZFA:0009100	peptide hormone secreting cell	semapv:crossSpeciesExactMatch	CL:0000167	semapv:UnspecifiedMatching	1:1
ZFA:0009101	insulin secreting cell	semapv:crossSpeciesExactMatch	CL:0000168	semapv:UnspecifiedMatching	1:1
ZFA:0009102	pancreatic B cell	semapv:crossSpeciesExactMatch	CL:0000169	semapv:UnspecifiedMatching	1:1
ZFA:0009103	glucagon secreting cell	semapv:crossSpeciesExactMatch	CL:0000170	semapv:UnspecifiedMatching	1:1
ZFA:0009104	pancreatic A cell	semapv:crossSpeciesExactMatch	CL:0000171	semapv:UnspecifiedMatching	1:1
ZFA:0009105	somatostatin secreting cell	semapv:crossSpeciesExactMatch	CL:0000172	semapv:UnspecifiedMatching	1:1
ZFA:0009106	steroid hormone secreting cell	semapv:crossSpeciesExactMatch	CL:0000174	semapv:UnspecifiedMatching	1:1
ZFA:0009107	testosterone secreting cell	semapv:crossSpeciesExactMatch	CL:0000177	semapv:UnspecifiedMatching	1:1
ZFA:0009108	Leydig cell	semapv:crossSpeciesExactMatch	CL:0000178	semapv:UnspecifiedMatching	1:1
ZFA:0009109	progesterone secreting cell	semapv:crossSpeciesExactMatch	CL:0000179	semapv:UnspecifiedMatching	1:1
ZFA:0009110	estradiol secreting cell	semapv:crossSpeciesExactMatch	CL:0000180	semapv:UnspecifiedMatching	1:1
ZFA:0009111	hepatocyte	semapv:crossSpeciesExactMatch	CL:0000182	semapv:UnspecifiedMatching	1:1
ZFA:0009112	pericyte	semapv:crossSpeciesExactMatch	CL:0000669	semapv:UnspecifiedMatching	1:1
ZFA:0009113	myoepithelial cell	semapv:crossSpeciesExactMatch	CL:0000185	semapv:UnspecifiedMatching	1:1
ZFA:0009114	muscle cell	semapv:crossSpeciesExactMatch	CL:0000187	semapv:UnspecifiedMatching	1:1
