type	subject	severity	instantiates	predicate	object	object_str	source	info
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000356	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000356
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000357	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000357
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000367	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000367
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000376	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000376
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000377	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000377
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000378	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000378
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000379	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000379
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000383	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000383
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000384	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000384
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000386	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000386
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000389	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000389
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000390	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000390
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000397	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000397
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000406	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000406
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000408	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000408
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000410	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000410
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000416	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000416
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000417	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000417
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000420	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000420
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000423	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000423
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000428	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000428
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000435	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000435
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000436	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000436
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000443	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000443
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000445	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000445
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000447	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000447
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000452	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000452
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000456	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000456
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000457	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000457
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000460	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000460
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000470	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000470
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000489	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000489
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000490	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000490
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000520	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000520
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000521	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000521
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000529	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000529
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000532	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000532
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000544	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000544
http://www.w3.org/ns/shacl#MinCountConstraintComponent	CL:0000551	WARNING	None	IAO:0000115	None	None	sqlite:cl-simple.db	Missing slot (definition) for CL:0000551
